date,global,north,south
190410,-0.37,-0.46,-0.28
190411,-0.21,-0.23,-0.19
190412,-0.27,-0.35,-0.20
190501,-0.31,-0.40,-0.21
190502,-0.49,-0.69,-0.30
190503,-0.20,-0.27,-0.14
190504,-0.30,-0.41,-0.20
190505,-0.21,-0.28,-0.14
190506,-0.15,-0.26,-0.04
190507,-0.16,-0.19,-0.13
190508,-0.25,-0.26,-0.24
190509,-0.28,-0.30,-0.27
190510,-0.31,-0.33,-0.29
190511,-0.17,-0.20,-0.14
190512,-0.21,-0.44,0.01
190601,-0.31,-0.60,-0.03
190602,-0.21,-0.43,0.01
190603,-0.18,-0.27,-0.08
190604,-0.01,0.06,-0.08
190605,-0.17,-0.23,-0.10
190606,-0.10,-0.17,-0.03
190607,-0.13,-0.22,-0.05
190608,-0.20,-0.21,-0.19
190609,-0.24,-0.22,-0.25
190610,-0.13,-0.14,-0.13
190611,-0.24,-0.25,-0.23
190612,-0.07,0.10,-0.23
190701,-0.31,-0.35,-0.26
190702,-0.48,-0.68,-0.28
190703,-0.25,-0.33,-0.18
190704,-0.39,-0.52,-0.25
190705,-0.45,-0.66,-0.24
190706,-0.35,-0.49,-0.21
190707,-0.30,-0.46,-0.14
190708,-0.27,-0.47,-0.06
190709,-0.33,-0.47,-0.20
190710,-0.22,-0.29,-0.14
190711,-0.39,-0.51,-0.28
190712,-0.41,-0.51,-0.30
190801,-0.48,-0.63,-0.32
190802,-0.26,-0.15,-0.37
190803,-0.49,-0.64,-0.33
190804,-0.49,-0.64,-0.34
190805,-0.43,-0.42,-0.44
190806,-0.34,-0.31,-0.37
190807,-0.34,-0.43,-0.25
190808,-0.43,-0.48,-0.38
190809,-0.43,-0.35,-0.51
190810,-0.47,-0.56,-0.38
190811,-0.44,-0.55,-0.33
190812,-0.43,-0.52,-0.35
190901,-0.67,-0.87,-0.47
190902,-0.42,-0.46,-0.37
190903,-0.46,-0.59,-0.32
190904,-0.53,-0.68,-0.39
190905,-0.45,-0.50,-0.39
190906,-0.46,-0.56,-0.35
190907,-0.42,-0.46,-0.38
190908,-0.33,-0.37,-0.28
190909,-0.34,-0.36,-0.32
190910,-0.31,-0.36,-0.26
190911,-0.29,-0.23,-0.36
190912,-0.42,-0.35,-0.48
191001,-0.36,-0.27,-0.44
191002,-0.40,-0.38,-0.42
191003,-0.46,-0.47,-0.45
191004,-0.37,-0.41,-0.33
191005,-0.31,-0.33,-0.28
191006,-0.32,-0.49,-0.15
191007,-0.29,-0.39,-0.20
191008,-0.31,-0.39,-0.22
191009,-0.33,-0.41,-0.26
191010,-0.41,-0.37,-0.45
191011,-0.35,-0.30,-0.41
191012,-0.55,-0.62,-0.49
191101,-0.56,-0.73,-0.39
191102,-0.58,-0.66,-0.50
191103,-0.61,-0.68,-0.54
191104,-0.38,-0.25,-0.50
191105,-0.49,-0.46,-0.52
191106,-0.46,-0.38,-0.53
191107,-0.41,-0.46,-0.36
191108,-0.40,-0.49,-0.31
191109,-0.36,-0.36,-0.35
191110,-0.24,-0.22,-0.25
191111,-0.17,-0.22,-0.11
191112,-0.17,-0.30,-0.04
191201,-0.29,-0.47,-0.12
191202,-0.20,-0.35,-0.04
191203,-0.37,-0.76,0.02
191204,-0.22,-0.31,-0.12
191205,-0.19,-0.18,-0.20
191206,-0.19,-0.15,-0.22
191207,-0.36,-0.54,-0.19
191208,-0.45,-0.66,-0.24
191209,-0.49,-0.71,-0.27
191210,-0.57,-0.89,-0.25
191211,-0.29,-0.43,-0.15
191212,-0.35,-0.46,-0.24
191301,-0.37,-0.54,-0.19
191302,-0.37,-0.56,-0.19
191303,-0.45,-0.56,-0.33
191304,-0.39,-0.52,-0.26
191305,-0.42,-0.53,-0.30
191306,-0.36,-0.52,-0.20
191307,-0.34,-0.55,-0.14
191308,-0.24,-0.43,-0.05
191309,-0.29,-0.35,-0.23
191310,-0.32,-0.51,-0.13
191311,-0.24,-0.35,-0.12
191312,-0.03,0.02,-0.07
191401,-0.07,-0.10,-0.04
191402,-0.12,-0.21,-0.03
191403,-0.24,-0.39,-0.08
191404,-0.23,-0.36,-0.10
191405,-0.18,-0.23,-0.14
191406,-0.18,-0.26,-0.09
191407,-0.21,-0.35,-0.07
191408,-0.21,-0.30,-0.12
191409,-0.18,-0.27,-0.10
191410,-0.06,-0.02,-0.10
191411,0.00,-0.08,0.09
191412,-0.01,0.00,-0.02
191501,-0.15,-0.18,-0.13
191502,-0.03,-0.09,0.04
191503,-0.01,-0.10,0.09
191504,0.10,0.02,0.18
191505,0.00,0.02,-0.01
191506,-0.12,-0.14,-0.09
191507,-0.05,-0.07,-0.03
191508,-0.11,-0.11,-0.11
191509,-0.14,-0.21,-0.07
191510,-0.19,-0.30,-0.08
191511,-0.10,-0.10,-0.09
191512,-0.25,-0.36,-0.13
